x,y,z,yaw,velocity,change_flag
104.7882,-133.2308,0.0357,-0.0041,7.6360,0
105.8896,-133.2354,0.0355,-0.0041,8.4132,0
106.8906,-133.2395,0.0353,-0.0042,9.6129,0
107.8961,-133.2437,0.0351,-0.0042,11.0320,0
109.0420,-133.2485,0.0351,-0.0042,12.4561,0
110.1306,-133.2530,0.0351,-0.0042,13.5958,0
111.5160,-133.2589,0.0351,-0.0043,14.8280,0
112.7951,-133.2644,0.0352,-0.0043,15.8058,0
113.9213,-133.2692,0.0352,-0.0043,16.5692,0
115.0988,-133.2742,0.0352,-0.0043,17.2889,0
116.5755,-133.2806,0.0357,-0.0043,18.0984,0
117.5956,-133.2850,0.0362,-0.0044,18.4674,0
118.9074,-133.2906,0.0360,-0.0045,19.1552,0
119.9599,-133.2952,0.0361,-0.0045,19.0323,0
121.2832,-133.3012,0.0361,-0.0043,19.1245,0
122.3623,-133.3059,0.0360,-0.0043,19.4898,0
123.4621,-133.3108,0.0359,-0.0043,19.8672,0
124.5821,-133.3158,0.0359,-0.0044,20.2222,0
125.7207,-133.3209,0.0359,-0.0044,20.5469,0
126.8764,-133.3261,0.0360,-0.0044,20.8457,0
128.0479,-133.3314,0.0360,-0.0044,21.1204,0
129.2339,-133.3368,0.0360,-0.0045,21.3815,0
130.4341,-133.3423,0.0360,-0.0045,21.6325,0
131.6478,-133.3478,0.0360,-0.0045,21.8745,0
132.8746,-133.3534,0.0360,-0.0045,22.1080,0
134.1134,-133.3592,0.0360,-0.0045,22.2848,0
